"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Label__c","nFORCE__Order__c","nFORCE__Question__c","nFORCE__lookupKey__c","nFORCE__Api_Value__c","nFORCE__Is_Default__c"
"a2z8c000000BlfEAAS","0058c00000BxeO9AAJ","false","O-001220","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgpoAAC","a2zHo0000022d99IAA","","false"
"a2z8c000000BlfFAAS","0058c00000BxeO9AAJ","false","O-001221","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgppAAC","a2zHo0000022d9AIAQ","","false"
"a2z8c000000BlfGAAS","0058c00000BxeO9AAJ","false","O-001222","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgpqAAC","a2zHo0000022d9BIAQ","","false"
"a2z8c000000BlfHAAS","0058c00000BxeO9AAJ","false","O-001223","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes - By selecting this option, the record will be marked CRA Reportable.","1.0","a308c000000BgprAAC","a2zHo0000022d9DIAQ","","false"
"a2z8c000000BlfIAAS","0058c00000BxeO9AAJ","false","O-001224","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","None of the above","4.0","a308c000000BgpsAAC","a2zHo0000022d9EIAQ","","false"
"a2z8c000000BlfJAAS","0058c00000BxeO9AAJ","false","O-001225","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgptAAC","a2zHo0000022d9FIAQ","","false"
"a2z8c000000BlfKAAS","0058c00000BxeO9AAJ","false","O-001226","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgpuAAC","a2zHo0000022d9CIAQ","","false"
"a2z8c000000BlfLAAS","0058c00000BxeO9AAJ","false","O-001227","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgpVAAS","a2zHo0000022d9GIAQ","","false"
"a2z8c000000BlfMAAS","0058c00000BxeO9AAJ","false","O-001228","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgpvAAC","a2zHo0000022d9HIAQ","","false"
"a2z8c000000BlfNAAS","0058c00000BxeO9AAJ","false","O-001229","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes, the loan is HVCRE reportable.","1.0","a308c000000BgpwAAC","a2zHo0000022d9IIAQ","","false"
"a2z8c000000BlfOAAS","0058c00000BxeO9AAJ","false","O-001230","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes - By selecting this option, the loan will be marked Reg O Reportable.","1.0","a308c000000BgplAAC","a2zHo0000022d9JIAQ","","false"
"a2z8c000000BlfPAAS","0058c00000BxeO9AAJ","false","O-001231","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000Bgq6AAC","a2zHo0000022d9KIAQ","","false"
"a2z8c000000BlfQAAS","0058c00000BxeO9AAJ","false","O-001232","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes, this loan IS NOT HMDA Reportable","1.0","a308c000000Bgq7AAC","a2zHo0000022d9LIAQ","","false"
